contamination,anomaly_ratio,difference
0.08594,0.086,0.064
0.01008,0.0102,0.13979999999999998
0.10368,0.1038,0.04619999999999999
0.17788,0.178,0.027999999999999997
0.15862,0.1586,0.008599999999999997
0.14683,0.147,0.0030000000000000027
0.07383,0.074,0.076
0.1911,0.1912,0.041200000000000014
0.15681,0.1568,0.0068000000000000005
0.18583,0.1858,0.0358
0.04312,0.0432,0.10679999999999999
0.15287,0.153,0.0030000000000000027
0.16028,0.1604,0.010399999999999993
0.0692,0.0692,0.0808
0.16555,0.1656,0.015600000000000003
0.12578,0.1258,0.0242
0.07849,0.0786,0.07139999999999999
0.15681,0.1568,0.0068000000000000005
0.04635,0.0464,0.1036
0.02352,0.0236,0.12639999999999998
0.06661,0.0666,0.08339999999999999
0.12422,0.1242,0.02579999999999999
0.08528,0.0854,0.06459999999999999
0.13024,0.1304,0.019600000000000006
0.06198,0.062,0.088
0.13875,0.1388,0.011199999999999988
0.02274,0.0228,0.12719999999999998
0.1953,0.1954,0.045399999999999996
0.12393,0.124,0.025999999999999995
0.08401,0.084,0.06599999999999999
0.12578,0.1258,0.0242
0.18039,0.1804,0.03040000000000001
0.13431,0.1344,0.015600000000000003
0.04798,0.048,0.102
0.1235,0.1236,0.026399999999999993
0.14847,0.1486,0.0013999999999999846
0.09855,0.0986,0.0514
0.11413,0.1142,0.0358
0.15724,0.1574,0.007400000000000018
0.08396,0.084,0.06599999999999999
0.14856,0.1486,0.0013999999999999846
0.15193,0.152,0.0020000000000000018
0.13294,0.133,0.016999999999999987
0.12952,0.1296,0.0204
0.0662,0.0662,0.0838
0.17308,0.1732,0.0232
0.10983,0.11,0.039999999999999994
0.19528,0.1954,0.045399999999999996
0.08066,0.0808,0.0692
0.1767,0.1768,0.026800000000000018
0.02474,0.0248,0.1252
0.1497,0.1498,0.00020000000000000573
0.04712,0.0472,0.1028
0.1187,0.1188,0.03119999999999999
0.06712,0.0672,0.0828
0.15118,0.1512,0.0012000000000000066
0.14838,0.1484,0.0015999999999999903
0.17088,0.171,0.02100000000000002
0.0953,0.0954,0.054599999999999996
0.0202,0.0202,0.1298
0.09572,0.0958,0.0542
0.03557,0.0356,0.1144
0.14455,0.1446,0.005399999999999988
0.08371,0.0838,0.0662
0.03575,0.0358,0.1142
0.09397,0.094,0.055999999999999994
0.08757,0.0876,0.0624
0.05622,0.0564,0.09359999999999999
0.05907,0.0592,0.09079999999999999
0.14731,0.1474,0.002599999999999991
0.0569,0.057,0.093
0.15859,0.1586,0.008599999999999997
0.04779,0.0478,0.10219999999999999
0.05582,0.056,0.094
0.01319,0.0132,0.1368
0.03062,0.0308,0.1192
0.1164,0.1164,0.03359999999999999
0.0244,0.0244,0.1256
0.16276,0.1628,0.012800000000000006
0.09188,0.092,0.057999999999999996
0.01087,0.011,0.13899999999999998
0.12733,0.1274,0.02259999999999998
0.02461,0.0248,0.1252
0.09227,0.0924,0.0576
0.09008,0.0902,0.05979999999999999
0.15768,0.1578,0.007800000000000001
0.19381,0.1938,0.043800000000000006
0.05462,0.0548,0.09519999999999999
0.0469,0.047,0.103
0.07221,0.0722,0.0778
0.09286,0.093,0.056999999999999995
0.01196,0.012,0.13799999999999998
0.01675,0.0168,0.13319999999999999
0.15242,0.1524,0.0024000000000000132
0.15994,0.16,0.010000000000000009
0.1971,0.1972,0.04719999999999999
0.04711,0.0472,0.1028
0.15706,0.1572,0.007200000000000012
0.13064,0.1308,0.019199999999999995
0.08551,0.0856,0.0644
