sensor_ID,timestamp,power,signal_strength
1,2025-05-14 21:11:54.954670,3.89,-61.49
2,2025-05-14 21:12:54.954670,4.21,-55.02
3,2025-05-14 21:13:54.954670,4.25,-53.12
4,2025-05-14 21:14:54.954670,3.69,-50.68
5,2025-05-14 21:15:54.954670,3.45,-57.91
6,2025-05-14 21:16:54.954670,4.41,-65.35
7,2025-05-14 21:17:54.954670,3.32,-56.43
8,2025-05-14 21:18:54.954670,4.79,-66.83
9,2025-05-14 21:19:54.954670,3.90,-71.41
10,2025-05-14 21:20:54.954670,4.39,-51.74
11,2025-05-14 21:21:54.954670,3.63,-73.78
12,2025-05-14 21:22:54.954670,4.73,-78.18
13,2025-05-14 21:23:54.954670,3.13,-74.24
14,2025-05-14 21:24:54.954670,4.11,-66.44
15,2025-05-14 21:25:54.954670,4.18,-67.41
16,2025-05-14 21:26:54.954670,3.88,-75.04
17,2025-05-14 21:27:54.954670,3.63,-67.00
18,2025-05-14 21:28:54.954670,4.36,-59.00
19,2025-05-14 21:29:54.954670,3.60,-70.98
20,2025-05-14 21:30:54.954670,3.08,-61.67
21,2025-05-14 21:31:54.954670,4.06,-69.19
22,2025-05-14 21:32:54.954670,3.55,-61.63
23,2025-05-14 21:33:54.954670,3.65,-54.63
24,2025-05-14 21:34:54.954670,4.69,-72.27
25,2025-05-14 21:35:54.954670,4.33,-65.96
26,2025-05-14 21:36:54.954670,4.13,-79.52
27,2025-05-14 21:37:54.954670,4.51,-62.36
28,2025-05-14 21:38:54.954670,3.19,-55.02
29,2025-05-14 21:39:54.954670,4.03,-73.53
30,2025-05-14 21:40:54.954670,3.49,-68.43
31,2025-05-14 21:41:54.954670,4.57,-78.62
32,2025-05-14 21:42:54.954670,4.79,-62.43
33,2025-05-14 21:43:54.954670,3.02,-56.43
34,2025-05-14 21:44:54.954670,3.01,-58.05
35,2025-05-14 21:45:54.954670,4.91,-73.65
36,2025-05-14 21:46:54.954670,3.05,-52.83
37,2025-05-14 21:47:54.954670,3.17,-63.68
38,2025-05-14 21:48:54.954670,3.56,-66.72
39,2025-05-14 21:49:54.954670,3.13,-73.70
40,2025-05-14 21:50:54.954670,3.66,-61.53
41,2025-05-14 21:51:54.954670,4.15,-55.74
42,2025-05-14 21:52:54.954670,3.59,-72.48
43,2025-05-14 21:53:54.954670,3.95,-75.94
44,2025-05-14 21:54:54.954670,4.46,-71.19
45,2025-05-14 21:55:54.954670,4.44,-68.97
46,2025-05-14 21:56:54.954670,4.47,-74.44
47,2025-05-14 21:57:54.954670,4.41,-59.39
48,2025-05-14 21:58:54.954670,4.68,-77.45
49,2025-05-14 21:59:54.954670,3.46,-71.82
50,2025-05-14 22:00:54.954670,4.02,-75.60
51,2025-05-14 22:01:54.954670,3.14,-73.03
52,2025-05-14 22:02:54.954670,3.48,-76.61
53,2025-05-14 22:03:54.954670,3.01,-70.00
54,2025-05-14 22:04:54.954670,3.56,-69.01
55,2025-05-14 22:05:54.954670,4.97,-79.59
56,2025-05-14 22:06:54.954670,4.13,-73.15
57,2025-05-14 22:07:54.954670,3.11,-76.26
58,2025-05-14 22:08:54.954670,4.33,-69.40
59,2025-05-14 22:09:54.954670,4.41,-54.61
60,2025-05-14 22:10:54.954670,3.94,-55.55
61,2025-05-14 22:11:54.954670,3.92,-70.31
62,2025-05-14 22:12:54.954670,3.41,-59.49
63,2025-05-14 22:13:54.954670,4.73,-70.56
64,2025-05-14 22:14:54.954670,3.87,-64.73
65,2025-05-14 22:15:54.954670,3.02,-53.46
66,2025-05-14 22:16:54.954670,3.95,-62.40
67,2025-05-14 22:17:54.954670,3.44,-60.35
68,2025-05-14 22:18:54.954670,4.25,-59.60
69,2025-05-14 22:19:54.954670,4.05,-70.72
70,2025-05-14 22:20:54.954670,4.11,-75.88
71,2025-05-14 22:21:54.954670,4.63,-67.09
72,2025-05-14 22:22:54.954670,3.07,-52.01
73,2025-05-14 22:23:54.954670,4.20,-62.93
74,2025-05-14 22:24:54.954670,3.26,-56.08
75,2025-05-14 22:25:54.954670,4.77,-51.47
76,2025-05-14 22:26:54.954670,4.78,-78.58
77,2025-05-14 22:27:54.954670,3.47,-71.84
78,2025-05-14 22:28:54.954670,3.14,-65.06
79,2025-05-14 22:29:54.954670,3.56,-66.40
80,2025-05-14 22:30:54.954670,3.56,-61.91
81,2025-05-14 22:31:54.954670,4.52,-51.24
82,2025-05-14 22:32:54.954670,4.21,-50.52
83,2025-05-14 22:33:54.954670,3.88,-50.29
84,2025-05-14 22:34:54.954670,3.39,-73.42
85,2025-05-14 22:35:54.954670,4.72,-69.11
86,2025-05-14 22:36:54.954670,4.33,-77.85
87,2025-05-14 22:37:54.954670,4.86,-73.15
88,2025-05-14 22:38:54.954670,4.00,-68.18
89,2025-05-14 22:39:54.954670,3.76,-71.47
90,2025-05-14 22:40:54.954670,4.99,-58.98
91,2025-05-14 22:41:54.954670,3.97,-63.39
92,2025-05-14 22:42:54.954670,3.40,-69.02
93,2025-05-14 22:43:54.954670,4.42,-55.10
94,2025-05-14 22:44:54.954670,4.75,-77.36
95,2025-05-14 22:45:54.954670,4.86,-71.65
96,2025-05-14 22:46:54.954670,3.43,-64.37
97,2025-05-14 22:47:54.954670,3.07,-67.51
98,2025-05-14 22:48:54.954670,3.73,-79.94
99,2025-05-14 22:49:54.954670,3.65,-53.27
100,2025-05-14 22:50:54.954670,3.51,-64.14
