contamination,anomaly_ratio,difference
0.196445,0.198,0.048000000000000015
0.056734,0.058,0.092
0.079631,0.08,0.06999999999999999
0.169869,0.17,0.020000000000000018
0.122253,0.124,0.025999999999999995
0.07261,0.074,0.076
0.130947,0.132,0.017999999999999988
0.106263,0.108,0.041999999999999996
0.029335,0.03,0.12
0.129021,0.13,0.01999999999999999
0.017842,0.018,0.132
0.189264,0.19,0.04000000000000001
0.19631,0.196,0.04600000000000001
0.119583,0.12,0.03
0.155227,0.156,0.006000000000000005
0.149193,0.15,0.0
0.118313,0.12,0.03
0.169016,0.17,0.020000000000000018
0.141485,0.142,0.008000000000000007
0.187773,0.188,0.038000000000000006
0.074157,0.076,0.074
0.067868,0.068,0.08199999999999999
0.063721,0.064,0.086
0.02952,0.03,0.12
0.073143,0.074,0.076
0.11193,0.112,0.03799999999999999
0.141489,0.142,0.008000000000000007
0.090311,0.092,0.057999999999999996
0.051471,0.052,0.098
0.121551,0.122,0.027999999999999997
0.026952,0.028,0.122
0.181237,0.182,0.032
0.185649,0.186,0.036000000000000004
0.029436,0.03,0.12
0.167129,0.168,0.018000000000000016
0.050036,0.05,0.09999999999999999
0.027672,0.028,0.122
0.088016,0.088,0.062
0.143431,0.144,0.006000000000000005
0.064581,0.066,0.08399999999999999
0.12306,0.124,0.025999999999999995
0.113938,0.114,0.03599999999999999
0.050282,0.052,0.098
0.048385,0.05,0.09999999999999999
0.122538,0.124,0.025999999999999995
0.016446,0.018,0.132
0.174021,0.174,0.023999999999999994
0.17795,0.178,0.027999999999999997
0.143453,0.144,0.006000000000000005
0.103719,0.104,0.046
0.185799,0.186,0.036000000000000004
0.157886,0.158,0.008000000000000007
0.041436,0.042,0.10799999999999998
0.113934,0.114,0.03599999999999999
0.101856,0.102,0.048
0.178877,0.18,0.03
0.196248,0.196,0.04600000000000001
0.174203,0.174,0.023999999999999994
0.146841,0.148,0.0020000000000000018
0.120419,0.122,0.027999999999999997
0.102577,0.104,0.046
0.063789,0.064,0.086
0.082996,0.084,0.06599999999999999
0.136604,0.138,0.011999999999999983
0.026026,0.026,0.124
0.082019,0.082,0.06799999999999999
0.113767,0.114,0.03599999999999999
0.063551,0.064,0.086
0.028778,0.03,0.12
0.024415,0.026,0.124
0.057945,0.058,0.092
0.04208,0.042,0.10799999999999998
0.167324,0.168,0.018000000000000016
0.1274,0.128,0.021999999999999992
0.18467,0.186,0.036000000000000004
0.152876,0.154,0.0040000000000000036
0.104116,0.104,0.046
0.16767,0.168,0.018000000000000016
0.172391,0.174,0.023999999999999994
0.069174,0.07,0.07999999999999999
0.041637,0.042,0.10799999999999998
0.136895,0.138,0.011999999999999983
0.155378,0.156,0.006000000000000005
0.025181,0.026,0.124
0.168929,0.17,0.020000000000000018
0.011177,0.012,0.13799999999999998
0.132447,0.134,0.015999999999999986
0.041571,0.042,0.10799999999999998
0.030712,0.032,0.118
0.080188,0.082,0.06799999999999999
0.072616,0.074,0.076
0.163244,0.164,0.014000000000000012
0.088453,0.09,0.06
0.165102,0.166,0.016000000000000014
0.022004,0.022,0.128
0.023307,0.024,0.126
0.02202,0.022,0.128
0.108934,0.11,0.039999999999999994
0.182336,0.182,0.032
0.02801,0.028,0.122
