sensor_ID,power,signal_strength,malfunction
1,2.34,-66,1
2,2.99,-54,0
3,3.49,-52,0
4,3.66,-61,0
5,4.24,-69,0
6,4.23,-55,0
7,3.23,-51,0
8,3.64,-75,0
9,3.56,-66,0
10,0.96,-71,1
11,3.29,-62,0
12,3.71,-73,0
13,3.53,-73,0
14,3.42,-61,0
15,3.61,-52,0
16,4.44,-74,0
17,4.36,-59,0
18,3.75,-62,0
19,4.39,-51,0
20,4.23,-56,0
21,4.65,-73,0
22,3.82,-57,0
23,3.03,-79,0
24,1.80,-56,1
25,4.60,-74,0
26,3.81,-64,0
27,3.01,-51,0
28,3.88,-78,0
29,3.57,-59,0
30,3.36,-77,0
31,3.53,-50,0
32,3.90,-65,0
33,3.55,-61,0
34,3.63,-64,0
35,4.13,-54,0
36,3.49,-54,0
37,4.70,-60,0
38,4.64,-51,0
39,3.69,-65,0
40,4.71,-70,0
41,3.57,-51,0
42,3.29,-51,0
43,4.31,-68,0
44,3.55,-74,0
45,3.74,-73,0
46,4.71,-67,0
47,3.59,-50,0
48,4.18,-52,0
49,4.01,-65,0
50,4.76,-59,0
51,3.59,-79,0
52,3.70,-80,0
53,3.76,-75,0
54,4.21,-56,0
55,3.24,-58,0
56,4.23,-57,0
57,3.37,-59,0
58,4.16,-52,0
59,3.34,-79,0
60,4.40,-80,0
61,4.25,-52,0
62,3.11,-60,0
63,4.53,-73,0
64,4.84,-52,0
65,3.08,-59,0
66,3.31,-54,0
67,4.75,-57,0
68,4.58,-93,1
69,1.68,-68,1
70,4.67,-66,0
71,3.54,-60,0
72,4.69,-77,0
73,4.67,-57,0
74,3.20,-54,0
75,3.76,-52,0
76,3.21,-67,0
77,3.88,-65,0
78,4.76,-50,0
79,4.53,-79,0
80,4.45,-79,0
81,3.05,-73,0
82,3.08,-78,0
83,3.35,-58,0
84,4.43,-58,0
85,3.27,-75,0
86,3.71,-52,0
87,3.29,-66,0
88,1.63,-77,1
89,3.48,-62,0
90,3.68,-55,0
91,4.65,-60,0
92,4.84,-53,0
93,3.44,-63,0
94,3.56,-63,0
95,3.80,-50,0
96,4.74,-62,0
97,3.83,-66,0
98,3.67,-77,0
99,4.85,-54,0
100,3.35,-96,1
101,4.91,-88,1
102,2.89,-100,1
103,3.53,-74,0
104,4.74,-61,0
105,3.59,-78,0
106,3.01,-80,0
107,4.18,-65,0
108,1.43,-79,1
109,4.52,-78,0
110,4.49,-52,0
111,3.75,-78,0
112,3.08,-65,0
113,4.56,-51,0
114,4.18,-73,0
115,4.41,-59,0
116,4.94,-79,0
117,3.02,-51,0
118,4.55,-63,0
119,3.54,-69,0
120,4.97,-66,0
121,4.38,-68,0
122,4.37,-67,0
123,4.54,-51,0
124,3.08,-70,0
125,3.95,-73,0
126,4.98,-51,0
127,3.03,-71,0
128,2.40,-65,1
129,4.25,-59,0
130,3.53,-62,0
131,3.85,-55,0
132,3.87,-60,0
133,4.34,-60,0
134,4.23,-71,0
135,4.03,-68,0
136,4.66,-52,0
137,4.86,-60,0
138,1.61,-60,1
139,3.14,-76,0
140,3.05,-52,0
141,3.23,-65,0
142,4.52,-58,0
143,4.45,-66,0
144,4.46,-71,0
145,4.10,-78,0
146,3.90,-50,0
147,4.67,-68,0
148,3.25,-76,0
149,4.73,-50,0
150,3.84,-87,1
151,4.69,-50,0
152,3.86,-64,0
153,3.80,-63,0
154,3.43,-55,0
155,3.92,-71,0
156,4.32,-72,0
157,3.34,-77,0
158,4.09,-79,0
159,3.49,-73,0
160,4.94,-67,0
161,4.77,-65,0
162,3.63,-87,1
163,4.96,-78,0
164,3.38,-75,0
165,3.48,-90,1
166,4.38,-55,0
167,3.11,-54,0
168,3.75,-66,0
169,3.21,-70,0
170,4.13,-69,0
171,4.81,-77,0
172,4.37,-61,0
173,0.08,-72,1
174,4.86,-67,0
175,3.33,-71,0
176,3.66,-78,0
177,4.24,-99,1
178,4.05,-74,0
179,4.31,-90,1
180,4.58,-71,0
181,3.72,-62,0
182,3.84,-52,0
183,4.77,-57,0
184,4.03,-78,0
185,3.29,-71,0
186,4.28,-58,0
187,3.70,-64,0
188,4.76,-76,0
189,3.76,-73,0
190,3.97,-58,0
191,4.30,-66,0
192,4.77,-75,0
193,4.50,-78,0
194,3.71,-71,0
195,3.98,-54,0
196,4.47,-87,1
197,2.86,-58,0
198,4.59,-54,0
199,3.98,-56,0
200,4.25,-55,0
201,4.88,-56,0
202,4.24,-71,0
203,3.83,-74,0
204,4.46,-54,0
205,3.70,-78,0
206,3.85,-65,0
207,4.67,-68,0
208,3.37,-79,0
209,3.16,-54,0
210,3.21,-52,0
211,4.89,-54,0
212,3.53,-67,0
213,3.63,-58,0
214,4.69,-51,0
215,4.32,-59,0
216,3.51,-61,0
217,3.13,-50,0
218,3.53,-55,0
219,3.17,-56,0
220,4.17,-51,0
221,4.78,-59,0
222,3.59,-73,0
223,4.00,-64,0
224,3.83,-59,0
225,4.73,-69,0
226,4.06,-57,0
227,3.30,-59,0
228,3.47,-71,0
229,3.25,-68,0
230,3.93,-56,0
231,3.99,-65,0
232,3.74,-72,0
