sensor_ID,predicted_malfunction
16,1
24,1
35,1
37,1
62,1
70,1
75,1
93,1
97,1
99,1
111,1
122,1
125,1
133,1
139,1
146,1
150,1
154,1
156,1
161,1
190,1
191,1
204,1
218,1
222,1
239,1
249,1
256,1
267,1
268,1
277,1
282,1
285,1
306,1
310,1
311,1
353,1
369,1
371,1
380,1
389,1
407,1
451,1
483,1
498,1
502,1
525,1
528,1
537,1
541,1
562,1
573,1
592,1
594,1
618,1
633,1
636,1
648,1
655,1
665,1
671,1
714,1
737,1
766,1
796,1
810,1
817,1
819,1
839,1
845,1
852,1
860,1
897,1
903,1
904,1
919,1
930,1
942,1
946,1
952,1
965,1
998,1
