sensor_ID,power,signal_strength,malfunction
1,4.43,-75,0
2,4.18,-65,0
3,4.44,-70,0
4,3.68,-70,0
5,3.98,-65,0
6,2.03,-60,1
7,4.62,-79,0
8,3.76,-63,0
9,3.8,-51,0
10,3.6,-75,0
11,3.91,-57,0
12,4.9,-67,0
13,3.82,-72,0
14,4.21,-98,1
15,4.63,-73,0
16,4.73,-57,0
17,4.68,-59,0
18,4.89,-67,0
19,3.05,-55,0
20,3.96,-54,0
21,3.57,-71,0
22,0.46,-66,1
23,3.67,-75,0
24,3.15,-56,0
25,4.49,-75,0
26,4.94,-80,0
27,4.64,-53,0
28,3.24,-79,0
29,3.46,-53,0
30,4.42,-66,0
31,3.85,-66,0
32,3.0,-57,0
33,1.42,-57,1
34,3.09,-76,0
35,4.75,-60,0
36,4.45,-66,0
37,3.88,-63,0
38,3.44,-64,0
39,4.08,-73,0
40,3.36,-80,0
41,3.94,-62,0
42,4.71,-65,0
43,4.13,-67,0
44,4.43,-64,0
45,3.79,-74,0
46,3.1,-59,0
47,4.07,-72,0
48,4.58,-64,0
49,3.57,-97,1
50,4.33,-66,0
51,4.58,-56,0
52,3.09,-79,0
53,4.3,-67,0
54,3.73,-52,0
55,4.73,-73,0
56,4.78,-80,0
57,3.8,-69,0
58,4.43,-66,0
59,4.96,-80,0
60,4.0,-54,0
61,4.01,-77,0
62,4.45,-78,0
63,4.84,-78,0
64,3.2,-58,0
65,4.44,-58,0
66,3.21,-52,0
67,3.39,-51,0
68,4.65,-54,0
69,4.44,-56,0
70,4.34,-51,0
71,4.61,-80,0
72,4.75,-57,0
73,3.26,-53,0
74,4.93,-72,0
75,4.06,-53,0
76,3.22,-80,0
77,4.3,-70,0
78,3.63,-50,0
79,3.97,-74,0
80,3.36,-73,0
81,3.13,-55,0
82,4.88,-74,0
83,3.81,-50,0
84,4.79,-80,0
85,4.35,-64,0
86,4.3,-72,0
87,4.82,-55,0
88,3.78,-63,0
89,4.43,-74,0
90,3.37,-64,0
91,3.38,-60,0
92,4.66,-90,1
93,4.07,-78,0
94,4.53,-78,0
95,4.6,-71,0
96,4.67,-67,0
97,1.66,-58,1
98,4.85,-62,0
99,4.27,-73,0
100,3.54,-55,0
101,4.37,-76,0
102,3.5,-68,0
103,3.04,-75,0
104,4.86,-73,0
105,4.02,-64,0
106,4.65,-77,0
107,3.93,-59,0
108,4.31,-69,0
109,4.99,-68,0
110,4.81,-71,0
111,3.82,-64,0
112,4.22,-54,0
113,3.77,-56,0
114,3.3,-60,0
115,3.05,-79,0
116,4.29,-64,0
117,3.93,-57,0
118,3.43,-74,0
119,4.89,-73,0
120,3.14,-63,0
121,3.06,-73,0
122,4.88,-67,0
123,4.11,-57,0
124,3.35,-78,0
125,3.36,-61,0
126,4.93,-60,0
127,4.06,-72,0
128,4.3,-79,0
129,4.49,-79,0
130,3.4,-61,0
131,3.03,-74,0
132,3.06,-67,0
133,3.22,-57,0
134,4.17,-56,0
135,4.41,-74,0
136,3.92,-52,0
137,3.11,-57,0
138,4.27,-52,0
139,4.78,-61,0
140,4.91,-67,0
141,3.46,-55,0
142,2.72,-77,1
143,4.68,-92,1
144,3.91,-51,0
145,2.15,-69,1
146,3.98,-50,0
147,4.82,-51,0
148,4.96,-99,1
149,3.62,-93,1
150,4.1,-78,0
151,3.21,-71,0
152,4.88,-67,0
153,3.74,-58,0
154,4.01,-78,0
155,3.06,-75,0
156,3.62,-68,0
157,4.45,-59,0
158,4.88,-73,0
159,4.09,-99,1
160,4.63,-97,1
161,4.5,-79,0
162,4.86,-78,0
163,3.26,-70,0
164,3.24,-67,0
165,3.46,-73,0
166,4.07,-67,0
167,3.69,-53,0
168,4.2,-56,0
169,3.13,-57,0
170,4.04,-50,0
171,4.12,-66,0
172,4.92,-70,0
173,4.6,-54,0
174,3.43,-66,0
175,4.55,-58,0
176,4.56,-80,0
177,4.79,-61,0
178,2.37,-60,1
179,4.12,-68,0
180,3.7,-73,0
181,4.2,-67,0
182,3.71,-53,0
183,3.48,-80,0
184,4.44,-68,0
185,4.84,-76,0
186,4.81,-71,0
187,3.4,-63,0
188,2.02,-51,1
189,4.93,-55,0
190,3.18,-72,0
191,3.68,-52,0
192,4.65,-71,0
193,3.66,-68,0
194,3.8,-58,0
195,3.25,-79,0
196,4.92,-74,0
197,4.11,-50,0
198,4.29,-68,0
199,4.03,-56,0
200,4.04,-57,0
201,4.94,-56,0
202,3.26,-77,0
203,3.22,-57,0
204,3.53,-70,0
205,0.09,-53,1
206,3.13,-68,0
207,4.06,-52,0
208,4.75,-74,0
209,3.82,-66,0
210,3.68,-56,0
211,4.5,-50,0
212,4.4,-79,0
213,3.12,-69,0
214,4.75,-61,0
215,3.45,-57,0
216,3.28,-80,0
217,3.98,-52,0
218,4.45,-54,0
219,3.46,-61,0
220,4.16,-71,0
221,3.71,-65,0
222,4.83,-58,0
223,3.38,-75,0
224,3.76,-75,0
225,4.45,-69,0
226,3.48,-65,0
227,4.31,-73,0
228,4.86,-78,0
229,3.94,-78,0
230,4.77,-54,0
231,1.7,-69,1
232,4.04,-56,0
233,3.19,-73,0
234,3.78,-70,0
235,3.6,-60,0
236,4.32,-69,0
237,3.78,-52,0
238,4.48,-70,0
239,4.86,-73,0
240,5.0,-67,0
241,3.48,-71,0
242,3.56,-69,0
243,4.33,-55,0
244,3.41,-80,0
245,4.35,-63,0
246,4.02,-77,0
247,3.57,-50,0
248,3.55,-64,0
249,3.35,-78,0
250,3.74,-57,0
251,4.04,-73,0
252,4.21,-78,0
253,3.49,-94,1
254,3.24,-61,0
255,3.11,-53,0
256,3.53,-62,0
257,3.03,-76,0
258,4.96,-54,0
259,4.73,-51,0
260,3.33,-59,0
261,3.04,-68,0
262,3.76,-79,0
263,3.13,-56,0
264,4.98,-50,0
265,4.08,-63,0
266,3.88,-57,0
267,3.5,-71,0
268,4.99,-58,0
269,3.12,-72,0
270,4.7,-58,0
271,3.61,-51,0
272,4.28,-55,0
273,3.51,-74,0
274,4.57,-63,0
275,4.24,-67,0
276,3.92,-74,0
277,3.76,-63,0
278,2.59,-53,1
279,4.69,-80,0
280,3.4,-56,0
281,4.41,-71,0
282,4.49,-94,1
283,4.82,-71,0
284,3.98,-53,0
285,3.94,-57,0
286,3.41,-54,0
287,3.83,-62,0
288,3.76,-73,0
289,3.94,-69,0
290,3.72,-59,0
291,3.71,-68,0
292,3.53,-78,0
293,4.95,-76,0
294,3.23,-71,0
295,4.14,-95,1
296,3.11,-75,0
297,3.38,-58,0
298,4.47,-91,1
299,4.43,-78,0
300,3.93,-65,0
301,3.2,-79,0
302,3.87,-64,0
303,4.5,-65,0
304,3.44,-73,0
305,4.52,-75,0
306,3.9,-78,0
307,3.93,-66,0
308,4.64,-64,0
309,3.79,-52,0
310,1.05,-66,1
311,3.36,-53,0
312,4.59,-61,0
313,3.14,-63,0
314,3.15,-50,0
315,4.46,-57,0
316,3.66,-76,0
317,3.31,-68,0
318,4.51,-76,0
319,3.94,-68,0
320,4.92,-95,1
321,3.59,-52,0
322,4.82,-75,0
323,3.56,-99,1
324,3.11,-74,0
325,4.15,-52,0
326,4.97,-77,0
327,0.5,-64,1
328,4.27,-78,0
329,4.12,-59,0
330,3.06,-68,0
331,4.87,-54,0
332,4.69,-57,0
333,3.16,-58,0
334,3.2,-68,0
335,3.67,-50,0
336,4.1,-60,0
337,3.69,-66,0
338,4.52,-60,0
339,4.23,-73,0
340,3.86,-61,0
341,4.46,-70,0
342,3.72,-60,0
343,4.95,-58,0
344,4.94,-59,0
345,3.73,-59,0
346,4.64,-58,0
347,4.04,-67,0
348,4.94,-51,0
349,4.44,-79,0
350,3.81,-59,0
351,4.61,-58,0
352,4.38,-68,0
353,3.32,-73,0
354,4.39,-58,0
355,4.42,-61,0
356,3.33,-52,0
357,3.35,-72,0
358,4.38,-91,1
359,4.23,-77,0
360,4.84,-79,0
361,4.63,-53,0
362,3.45,-67,0
363,3.8,-63,0
364,4.62,-76,0
365,4.42,-50,0
366,3.3,-51,0
367,3.57,-70,0
368,4.72,-74,0
369,3.98,-98,1
370,4.02,-60,0
371,4.97,-50,0
372,3.82,-68,0
373,3.27,-64,0
374,3.18,-78,0
375,4.06,-75,0
376,2.02,-68,1
377,4.68,-55,0
378,3.01,-56,0
379,4.58,-76,0
380,0.14,-61,1
381,4.78,-75,0
382,4.52,-50,0
383,0.47,-61,1
384,4.33,-68,0
385,3.8,-64,0
386,2.26,-59,1
387,3.03,-54,0
388,4.25,-53,0
389,4.81,-69,0
390,3.52,-75,0
391,3.88,-95,1
392,4.18,-80,0
393,2.05,-71,1
394,4.97,-52,0
395,3.51,-52,0
396,4.04,-54,0
397,4.54,-61,0
398,3.85,-75,0
399,3.07,-67,0
400,4.26,-93,1
401,3.53,-62,0
402,4.86,-58,0
403,4.08,-90,1
404,4.95,-67,0
405,5.0,-56,0
406,3.64,-55,0
407,3.64,-69,0
408,3.29,-73,0
409,3.77,-68,0
410,3.46,-63,0
411,4.57,-52,0
412,3.35,-72,0
413,3.66,-67,0
414,3.29,-61,0
415,3.21,-54,0
416,4.94,-71,0
417,4.84,-63,0
418,4.46,-67,0
419,4.06,-56,0
420,3.01,-59,0
421,3.5,-58,0
422,3.36,-50,0
423,3.64,-76,0
424,3.32,-70,0
425,3.27,-52,0
426,4.72,-59,0
427,3.09,-71,0
428,4.76,-79,0
429,4.01,-95,1
430,3.16,-70,0
431,3.71,-59,0
432,3.51,-74,0
433,3.82,-64,0
434,3.35,-62,0
435,4.54,-61,0
436,4.98,-70,0
437,4.52,-68,0
438,4.57,-58,0
439,4.25,-65,0
440,4.7,-79,0
441,3.03,-62,0
442,4.11,-63,0
443,4.37,-61,0
444,4.03,-56,0
445,4.69,-79,0
446,3.88,-79,0
447,3.94,-58,0
448,3.18,-73,0
449,3.8,-56,0
450,4.63,-64,0
451,2.37,-70,1
452,4.69,-93,1
453,3.1,-58,0
454,4.19,-75,0
455,3.68,-73,0
456,3.49,-54,0
457,3.9,-69,0
458,2.84,-80,1
